url,name,description,language,Category,blockchain,updated_at
https://api.github.com/repos/janoside/btc-rpc-explorer,btc-rpc-explorer,"Stateless Bitcoin blockchain explorer, via RPC. Build with Node.js, express, bootstrap-v4.",,Others,bitcoin,2024-12-16 15:24:01+00:00
https://api.github.com/repos/ayeowch/bitnodes,bitnodes,Bitnodes is currently being developed to estimate the size of the Bitcoin network by finding all the reachable nodes in the network ·,Python,Others,bitcoin,2024-12-31 20:20:54+00:00
https://api.github.com/repos/bither/bither-android,bither-android,Bither - a simple and secure Bitcoin wallet!,Java,Crypto,bitcoin,2024-11-21 07:52:24+00:00
https://api.github.com/repos/OpenZeppelin/ethernaut,ethernaut,Solidity based wargame,JavaScript,Others,ethereum,2025-03-03 17:48:00+00:00
https://api.github.com/repos/monero-project/monero-gui,monero-gui,"Monero: the secure, private, untraceable cryptocurrency",QML,Others,monero,2025-03-02 12:35:57+00:00
https://api.github.com/repos/fravoll/solidity-patterns,solidity-patterns,A compilation of patterns and best practices for the smart contract programming language Solidity I am compiling for my master's thesis.,,Others,ethereum,2024-04-19 08:52:31+00:00
https://api.github.com/repos/busyorg/busy,busy,Decentralized social network based on Steem blockchain,JavaScript,Others,others,2024-02-26 09:16:50+00:00
https://api.github.com/repos/Blockstream/esplora,esplora,Explorer for Bitcoin and Liquid,JavaScript,Others,bitcoin,2025-02-24 21:06:14+00:00
https://api.github.com/repos/PolymathNetwork/polymath-core,polymath-core,Core Ethereum Smart Contracts for Polymath - The Securities Token Platform,JavaScript,Crypto,ethereum,2024-06-18 23:14:39+00:00
https://api.github.com/repos/TrustWallet/wallet-core,wallet-core,"Cross-platform, cross-blockchain wallet library.",C,Crypto,multi,2025-03-05 17:17:26+00:00
https://api.github.com/repos/blockchain-certificates/cert-issuer,cert-issuer,Issues digital certificates using the Bitcoin blockchain,Python,Others,bitcoin,2025-02-21 01:30:49+00:00
https://api.github.com/repos/MyEtherWallet/ethereum-lists,ethereum-lists,"A repository for maintaining lists of things like malicious URLs, fake token addresses, and so forth. We love lists.",,Others,ethereum,2025-03-03 18:58:04+00:00
https://api.github.com/repos/bither/bither-ios,bither-ios,Bither - a simple and secure Bitcoin wallet!,Objective-C,Crypto,bitcoin,2024-11-20 00:56:41+00:00
https://api.github.com/repos/Giveth/giveth-dapp,giveth-dapp,The giveth dapp MVP,,Others,ethereum,2024-06-05 23:46:53+00:00
https://api.github.com/repos/DingdingKim/CoinNow,CoinNow,"Provide current quotes of coins(BTC, ETH, DASH, LTC, ETC, XRP) in real time from Bithumb and Poloniex.",,Crypto,multi,2024-06-26 15:07:19+00:00
https://api.github.com/repos/blockchain/blockchain-wallet-v4-frontend,blockchain-wallet-v4-frontend,Pre-release,JavaScript,Crypto,multi,2024-12-03 19:52:30+00:00
https://api.github.com/repos/mycelium-com/wallet-android,wallet-android,Mycelium Bitcoin Wallet for Android,Java,Crypto,bitcoin,2025-02-19 21:53:24+00:00
https://api.github.com/repos/Uniswap/uniswap-frontend,uniswap-frontend,,JavaScript,Others,uniswap,2025-03-05 22:04:36+00:00
https://api.github.com/repos/polkadot-js/apps,apps,Basic Polkadot/Substrate UI for interacting with a node,JavaScript,Others,polkadot,2025-03-06 04:25:40+00:00
https://api.github.com/repos/decred/decrediton,decrediton,Cross platform GUI for decred,,Others,decred,2025-03-04 15:40:20+00:00
https://api.github.com/repos/rocket-pool/rocketpool,rocketpool,A next generation decentralised Ethereum proof of stake (POS) pool currently in Alpha and built to be compatible with Casper.,JavaScript,Crypto,ethereum,2025-02-11 03:05:19+00:00
https://api.github.com/repos/floating/frame,frame,A cross-platform Ethereum provider interface,,Others,ethereum,2025-02-03 23:34:57+00:00
https://api.github.com/repos/moneroexamples/onion-monero-blockchain-explorer,onion-monero-blockchain-explorer,,C++,Others,monero,2025-02-18 06:56:46+00:00
https://api.github.com/repos/gnosis/safe-contracts,safe-contracts,Gnosis Safe allows secure management of blockchain assets. ,Solidity,Others,ethereum,2025-02-28 09:59:47+00:00
https://api.github.com/repos/stellarterm/stellarterm,stellarterm,Advanced web based trading client for the Stellar network. ????????????????,JavaScript,Crypto,stellar,2025-03-04 19:22:33+00:00
https://api.github.com/repos/thousandetherhomepage/ketherhomepage,ketherhomepage,Own a piece of blockchain history!,,Others,ethereum,2025-03-04 09:27:58+00:00
https://api.github.com/repos/AudiusProject/hedgehog,hedgehog,???? Build DApps like Apps -- A Metamask alternative that empowers you to build good UX,JavaScript,Crypto,ethereum,2024-06-26 16:36:23+00:00
https://api.github.com/repos/almindor/etherwall,etherwall,Ethereum QT5 Wallet,C++,Crypto,ethereum,2024-09-28 16:26:38+00:00
https://api.github.com/repos/mynodebtc/mynode,mynode,The easiest way to run Bitcoin and Lightning!,HTML,Crypto,bitcoin,2025-03-05 03:46:55+00:00
https://api.github.com/repos/ZeusLN/zeus,zeus,,,Crypto,bitcoin,2025-03-05 21:48:29+00:00
https://api.github.com/repos/jpmorganchase/anonymous-zether,anonymous-zether,A private payment system for Ethereum-based blockchains.,JavaScript,Crypto,ethereum,2024-06-24 13:22:46+00:00
https://api.github.com/repos/miguelmota/go-ethereum-hdwallet,go-ethereum-hdwallet,,,Crypto,ethereum,2024-06-27 03:59:05+00:00
https://api.github.com/repos/OttoAllmendinger/gnome-shell-bitcoin-markets,gnome-shell-bitcoin-markets,,JavaScript,Crypto,bitcoin,2024-12-28 12:56:31+00:00
https://api.github.com/repos/decentraland/marketplace,marketplace,"????️ Decentraland LAND manager, wallet and marketplace",JavaScript,Others,decentraland,2025-03-03 17:48:46+00:00
https://api.github.com/repos/WalletConnect/walletconnect-monorepo,walletconnect-monorepo,Walletconnect monorepo,,Crypto,ethereum,2025-03-05 14:16:06+00:00
https://api.github.com/repos/MetaMask/metamask-mobile,metamask-mobile,Mobile web browser providing access to websites that use the Ethereum blockchain,JavaScript,Crypto,ethereum,2025-03-06 04:20:45+00:00
